,chrom,description,end,geneSymbol,start
25,chr1,"Homo sapiens sodium channel, non-voltage-gated 1, delta subunit (SCNN1D), transcript variant 1, mRNA.",1227409,SCNN1D,1215815
26,chr1,"Homo sapiens pseudouridylate synthase-like 1 (PUSL1), mRNA.",1247057,PUSL1,1243993
27,chr1,"Homo sapiens glycolipid transfer protein domain containing 1 (GLTPD1), mRNA.",1264276,GLTPD1,1260142
28,chr1,"Homo sapiens taste receptor, type 1, member 3 (TAS1R3), mRNA.",1269844,TAS1R3,1266725
29,chr1,"Homo sapiens uncharacterized LOC148413 (LOC148413), non-coding RNA.",1337426,LOC148413,1334909
30,chr1,"Homo sapiens transmembrane protein 88B (TMEM88B), mRNA.",1363167,TMEM88B,1361507
31,chr1,"Homo sapiens von Willebrand factor A domain containing 1 (VWA1), transcript variant 1, mRNA.",1378262,VWA1,1370902
32,chr1,"Homo sapiens ATPase family, AAA domain containing 3C (ATAD3C), mRNA.",1405538,ATAD3C,1385068
33,chr1,"Homo sapiens ATPase family, AAA domain containing 3B (ATAD3B), nuclear gene encoding mitochondrial protein, mRNA.",1444689,ATAD3B,1407163
34,chr1,"Homo sapiens ATPase family, AAA domain containing 3A (ATAD3A), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",1470067,ATAD3A,1447522
35,chr1,"Homo sapiens cDNA FLJ35514 fis, clone SPLEN2000537.",1470064,AX747755,1467448
36,chr1,"Homo sapiens HP08716 mRNA, partial sequence, clone: HP08716-RBd88H07.",1510644,HP08716,1510354
37,chr1,"Homo sapiens cDNA FLJ37373 fis, clone BRAMY2024849.",1543166,AK094692,1535818
38,chr1,"Homo sapiens mindbomb E3 ubiquitin protein ligase 2 (MIB2), transcript variant 3, mRNA.",1565990,MIB2,1550794
39,chr1,"Homo sapiens matrix metallopeptidase 23B (MMP23B), mRNA.",1570030,MMP23B,1567559
40,chr1,"Homo sapiens matrix metallopeptidase 23A (pseudogene) (MMP23A), non-coding RNA.",1633247,MMP23A,1631377
41,chr1,"Homo sapiens cDNA FLJ40495 fis, clone TESTI2044754.",1663343,AK097814,1656053
42,chr1,"Homo sapiens calmodulin-like 6 (CALML6), mRNA.",1848733,CALML6,1846265
43,chr1,"Homo sapiens gamma-aminobutyric acid (GABA) A receptor, delta (GABRD), mRNA.",1962192,GABRD,1950767
44,chr1,"Homo sapiens protein kinase C, zeta (PRKCZ), transcript variant 1, mRNA.",2116834,PRKCZ,1981908
45,chr1,"Homo sapiens cDNA FLJ35090 fis, clone PLACE6005691.",2114663,AX747530,2112574
46,chr1,"Homo sapiens cDNA FLJ36608 fis, clone TRACH2015824.",2123179,BC018779,2121236
47,chr1,"Homo sapiens v-ski sarcoma viral oncogene homolog (avian) (SKI), mRNA.",2241652,SKI,2160133
48,chr1,"Homo sapiens RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae) (RER1), mRNA.",2336885,RER1,2323213
49,chr1,"Homo sapiens phospholipase C, eta 2 (PLCH2), mRNA.",2436969,PLCH2,2407753
50,chr1,"Homo sapiens tumor necrosis factor receptor superfamily, member 14 (TNFRSF14), mRNA.",2495267,TNFRSF14,2487804
51,chr1,"Homo sapiens family with sequence similarity 213, member B (FAM213B), transcript variant 4, mRNA.",2522908,FAM213B,2517898
52,chr1,"Homo sapiens actin-related protein T2 (ACTRT2), mRNA.",2939467,ACTRT2,2938045
53,chr1,"Homo sapiens PR domain containing 16 (PRDM16), transcript variant 2, mRNA.",3355185,PRDM16,2985741
54,chr1,"Homo sapiens microRNA 4251 (MIR4251), microRNA.",3044599,MIR4251,3044538
55,chr1,"Homo sapiens Rho guanine nucleotide exchange factor (GEF) 16 (ARHGEF16), mRNA.",3397677,ARHGEF16,3371146
56,chr1,"Homo sapiens tumor protein p63 regulated 1-like (TPRG1L), mRNA.",3546694,TPRG1L,3541555
57,chr1,"Homo sapiens tumor protein p73 (TP73), transcript variant 1, mRNA.",3652765,TP73,3569128
58,chr1,"Homo sapiens coiled-coil domain containing 27 (CCDC27), mRNA.",3688209,CCDC27,3668964
59,chr1,"Homo sapiens small integral membrane protein 1 (SMIM1), mRNA.",3692546,SMIM1,3689333
60,chr1,"Homo sapiens DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) (DFFB), mRNA.",3801993,DFFB,3773844
61,chr1,"Homo sapiens uncharacterized LOC100133612 (LOC100133612), non-coding RNA.",3833879,LOC100133612,3816967
62,chr1,"Homo sapiens uncharacterized LOC728716 (LOC728716), non-coding RNA.",4012643,LOC728716,4000671
63,chr1,"Homo sapiens uncharacterized LOC284661 (LOC284661), non-coding RNA.",4484744,LOC284661,4472110
64,chr1,"Homo sapiens adherens junctions associated protein 1 (AJAP1), transcript variant 2, mRNA.",4843851,AJAP1,4715104
65,chr1,Homo sapiens clone 23927 mRNA sequence.,4852183,BC037321,4847557
66,chr1,"Homo sapiens microRNA 4417 (MIR4417), microRNA.",5624203,MIR4417,5624130
67,chr1,"Homo sapiens potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 1, mRNA.",6161253,KCNAB2,6052357
68,chr1,"Homo sapiens ring finger protein 207 (RNF207), mRNA.",6281359,RNF207,6266188
69,chr1,"Homo sapiens chromosome 1 open reading frame 211, mRNA (cDNA clone MGC:40168 IMAGE:5141008), complete cds.",6299502,C1orf211,6297870
70,chr1,"Homo sapiens hairy and enhancer of split 3 (Drosophila) (HES3), mRNA.",6305638,HES3,6304251
71,chr1,"Homo sapiens espin (ESPN), mRNA.",6521004,ESPN,6484847
72,chr1,"Homo sapiens taste receptor, type 1, member 1 (TAS1R1), transcript variant 2, mRNA.",6639817,TAS1R1,6615337
73,chr1,"Homo sapiens zinc finger and BTB domain containing 48 (ZBTB48), mRNA.",6649340,ZBTB48,6640055
74,chr1,"Homo sapiens PHD finger protein 13 (PHF13), mRNA.",6684093,PHF13,6673755
75,chr1,"Homo sapiens THAP domain containing, apoptosis associated protein 3 (THAP3), transcript variant 3, mRNA.",6695646,THAP3,6684924
76,chr1,"Homo sapiens calmodulin binding transcription activator 1 (CAMTA1), transcript variant 1, mRNA.",7829766,CAMTA1,6845383
77,chr1,"Homo sapiens vesicle-associated membrane protein 3 (VAMP3), mRNA.",7841492,VAMP3,7831328
78,chr1,"Homo sapiens period circadian clock 3 (PER3), mRNA.",7905237,PER3,7844379
79,chr1,"Homo sapiens parkinson protein 7 (PARK7), transcript variant 2, mRNA.",8045342,PARK7,8021713
80,chr1,"Homo sapiens cDNA FLJ34360 fis, clone FEBRA2014198.",8045341,AX747125,8043018
81,chr1,"Homo sapiens solute carrier family 45, member 1 (SLC45A1), mRNA.",8404227,SLC45A1,8384389
82,chr1,"Homo sapiens ENO1 antisense RNA 1 (ENO1-AS1), non-coding RNA.",8939943,ENO1-AS1,8938893
83,chr1,"Homo sapiens carbonic anhydrase VI (CA6), transcript variant 2, mRNA.",9035148,CA6,9005892
84,chr1,"Homo sapiens hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) (H6PD), mRNA.",9331394,H6PD,9294862
85,chr1,"Homo sapiens splA/ryanodine receptor domain and SOCS box containing 1 (SPSB1), mRNA.",9429590,SPSB1,9352940
86,chr1,"Homo sapiens solute carrier family 25 (pyrimidine nucleotide carrier), member 33 (SLC25A33), nuclear gene encoding mitochondrial protein, mRNA.",9642831,SLC25A33,9599527
87,chr1,"Homo sapiens transmembrane protein 201 (TMEM201), transcript variant 1, mRNA.",9674935,TMEM201,9648931
88,chr1,"Homo sapiens phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta (PIK3CD), mRNA.",9789172,PIK3CD,9711789
89,chr1,"Homo sapiens nicotinamide nucleotide adenylyltransferase 1 (NMNAT1), mRNA.",10045556,NMNAT1,10003485
90,chr1,"Homo sapiens retinol binding protein 7, cellular (RBP7), mRNA.",10076078,RBP7,10057254
91,chr1,"Homo sapiens ubiquitination factor E4B (UBE4B), transcript variant 1, mRNA.",10241296,UBE4B,10093040
92,chr1,"Homo sapiens kinesin family member 1B (KIF1B), transcript variant 1, mRNA.",10441661,KIF1B,10270763
93,chr1,"Homo sapiens phosphogluconate dehydrogenase (PGD), mRNA.",10480201,PGD,10459084
94,chr1,"Homo sapiens APITD1-CORT readthrough (APITD1-CORT), transcript variant 5, mRNA.",10512060,APITD1-CORT,10490158
95,chr1,"Homo sapiens apoptosis-inducing, TAF9-like domain 1 (APITD1), transcript variant A, mRNA.",10502872,APITD1,10490158
96,chr1,"Homo sapiens cortistatin (CORT), mRNA.",10512060,CORT,10509775
97,chr1,"Homo sapiens peroxisomal biogenesis factor 14 (PEX14), mRNA.",10690815,PEX14,10535002
98,chr1,"Homo sapiens TAR DNA binding protein (TARDBP), mRNA.",11085549,TARDBP,11072678
99,chr1,"Homo sapiens MTOR antisense RNA 1 (MTOR-AS1), non-coding RNA.",11209595,MTOR-AS1,11203954
100,chr1,"Homo sapiens angiopoietin-like 7 (ANGPTL7), mRNA.",11256038,ANGPTL7,11249345
101,chr1,"Homo sapiens UbiA prenyltransferase domain containing 1 (UBIAD1), mRNA.",11348491,UBIAD1,11333254
102,chr1,"Homo sapiens patched domain containing 2 (PTCHD2), mRNA.",11597640,PTCHD2,11539294
103,chr1,"Homo sapiens F-box protein 44 (FBXO44), transcript variant 1, mRNA.",11723384,FBXO44,11714431
104,chr1,"Homo sapiens F-box protein 6 (FBXO6), mRNA.",11734409,FBXO6,11724149
105,chr1,"Homo sapiens dorsal inhibitory axon guidance protein (DRAXIN), mRNA.",11780336,DRAXIN,11751780
106,chr1,"Homo sapiens cDNA PSEC0258 fis, clone NT2RP3003731.",11785914,AK125437,11782186
107,chr1,"Homo sapiens angiotensin II receptor-associated protein (AGTRAP), transcript variant 4, mRNA.",11810828,AGTRAP,11796141
108,chr1,"Homo sapiens chromosome 1 open reading frame 167, mRNA (cDNA clone IMAGE:40108751), partial cds.",11849642,C1orf167,11824461
109,chr1,"Homo sapiens chloride channel, voltage-sensitive 6 (CLCN6), transcript variant 3, non-coding RNA.",11903201,CLCN6,11866152
110,chr1,"Homo sapiens NPPA antisense RNA 1 (NPPA-AS1), antisense RNA.",11907674,NPPA-AS1,11900375
111,chr1,"Homo sapiens procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 (PLOD1), mRNA.",12035599,PLOD1,11994723
112,chr1,"Homo sapiens mitofusin 2 (MFN2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.",12073572,MFN2,12040237
113,chr1,"Homo sapiens migration and invasion inhibitory protein (MIIP), mRNA.",12092106,MIIP,12079298
114,chr1,"Homo sapiens tumor necrosis factor receptor superfamily, member 8 (TNFRSF8), transcript variant 1, mRNA.",12204264,TNFRSF8,12123433
115,chr1,"Homo sapiens tumor necrosis factor receptor superfamily, member 1B (TNFRSF1B), mRNA.",12269277,TNFRSF1B,12227059
116,chr1,"Homo sapiens microRNA 4632 (MIR4632), microRNA.",12251839,MIR4632,12251761
117,chr1,"Homo sapiens vacuolar protein sorting 13 homolog D (S. cerevisiae) (VPS13D), transcript variant 1, mRNA.",12572098,VPS13D,12290112
118,chr1,"Homo sapiens small nucleolar RNA, H/ACA box 59B (SNORA59B), small nucleolar RNA.",12567451,SNORA59B,12567299
119,chr1,"Homo sapiens arylacetamide deacetylase-like 4 (AADACL4), mRNA.",12727097,AADACL4,12704565
120,chr1,"Homo sapiens arylacetamide deacetylase-like 3 (AADACL3), transcript variant 1, mRNA.",12788726,AADACL3,12776117
121,chr1,"Homo sapiens chromosome 1 open reading frame 158 (C1orf158), mRNA.",12821102,C1orf158,12806162
122,chr1,"Homo sapiens PRAME family member 12 (PRAMEF12), mRNA.",12838048,PRAMEF12,12834983
123,chr1,"Homo sapiens PRAME family member 1 (PRAMEF1), mRNA.",12856777,PRAMEF1,12851545
124,chr1,"Homo sapiens PRAME family member 2 (PRAMEF2), mRNA.",12921764,PRAMEF2,12916940
125,chr1,"Homo sapiens PRAME family member 8 (PRAMEF8), mRNA.",13611550,PRAMEF8,12976449
126,chr1,"Homo sapiens PRAME family member 22 (PRAMEF22), mRNA.",13038381,PRAMEF22,13035542
127,chr1,"Homo sapiens PRAME family member 5 (PRAMEF5), mRNA.",13369057,PRAMEF5,12998301
128,chr1,"Homo sapiens PRAME family member 9 (PRAMEF9), mRNA.",13648988,PRAMEF9,13421175
129,chr1,"Homo sapiens PRAME family member 16 (PRAMEF16), mRNA.",13498259,PRAMEF16,13495253
130,chr1,"Homo sapiens PRAME family member 20 (PRAMEF20), mRNA.",13747803,PRAMEF20,13516065
131,chr1,"Homo sapiens PRAME family member 10, mRNA (cDNA clone MGC:138413 IMAGE:8327676), complete cds.",13635299,PRAMEF10,12952726
132,chr1,"Homo sapiens PRAME family member 17 (PRAMEF17), mRNA.",13719064,PRAMEF17,13716087
133,chr1,"Homo sapiens podoplanin (PDPN), transcript variant 2, mRNA.",13944452,PDPN,13910251
134,chr1,"Homo sapiens PR domain containing 2, with ZNF domain (PRDM2), transcript variant 1, mRNA.",14151574,PRDM2,14026734
135,chr1,"Homo sapiens cDNA FLJ41611 fis, clone CTONG3002020.",14150513,AK124197,14146461
136,chr1,"Homo sapiens kazrin, periplakin interacting protein (KAZN), transcript variant E, mRNA.",15444544,KAZN,14925212
137,chr1,"Homo sapiens transmembrane protein 51 (TMEM51), transcript variant 3, mRNA.",15546974,TMEM51,15479027
138,chr1,"Homo sapiens forkhead-associated (FHA) phosphopeptide binding domain 1 (FHAD1), mRNA.",15726778,FHAD1,15573767
139,chr1,"Homo sapiens EF-hand domain family, member D2 (EFHD2), mRNA.",15756839,EFHD2,15736390
140,chr1,"Homo sapiens chymotrypsin C (caldecrin) (CTRC), mRNA.",15773153,CTRC,15764937
141,chr1,"Homo sapiens chymotrypsin-like elastase family, member 2A (CELA2A), mRNA.",15798586,CELA2A,15783222
142,chr1,"Homo sapiens chymotrypsin-like elastase family, member 2B (CELA2B), mRNA.",15817895,CELA2B,15802595
143,chr1,"Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 16 (DNAJC16), mRNA.",15918874,DNAJC16,15853351
144,chr1,"Homo sapiens DNA-damage inducible 1 homolog 2 (S. cerevisiae) (DDI2), mRNA.",15987552,DDI2,15943952
145,chr1,"Homo sapiens regulatory solute carrier protein, family 1, member 1 (RSC1A1), mRNA.",15988217,RSC1A1,15986363
146,chr1,Homo sapiens mRNA; cDNA DKFZp667N1113 (from clone DKFZp667N1113).,15995537,DQ573015,15992765
147,chr1,"Homo sapiens pleckstrin homology domain containing, family M (with RUN domain) member 2 (PLEKHM2), mRNA.",16061264,PLEKHM2,16010826
148,chr1,"Homo sapiens solute carrier family 25, member 34 (SLC25A34), mRNA.",16067884,SLC25A34,16062808
149,chr1,"Homo sapiens transmembrane protein 82 (TMEM82), mRNA.",16074292,TMEM82,16068986
150,chr1,"Homo sapiens filamin binding LIM protein 1 (FBLIM1), transcript variant 1, mRNA.",16113084,FBLIM1,16083153
151,chr1,"Homo sapiens spen homolog, transcriptional regulator (Drosophila) (SPEN), mRNA.",16266950,SPEN,16174358
152,chr1,"Homo sapiens chromosome 1 open reading frame 64 (C1orf64), mRNA.",16333184,C1orf64,16330730
153,chr1,"Homo sapiens chloride channel, voltage-sensitive Ka (CLCNKA), transcript variant 1, mRNA.",16360545,CLCNKA,16345369
154,chr1,"Homo sapiens chloride channel, voltage-sensitive Kb (CLCNKB), transcript variant 1, mRNA.",16383821,CLCNKB,16355620
155,chr1,"Homo sapiens SUZ RNA binding domain containing 1 (SZRD1), transcript variant 1, mRNA.",16724643,SZRD1,16693524
156,chr1,"Homo sapiens mRNA for putative MAPK activating protein, complete cds, clone: PM18.",16724639,AL832937,16721826
157,chr1,"Homo sapiens NECAP endocytosis associated 2 (NECAP2), transcript variant 1, mRNA.",16786584,NECAP2,16767166
158,chr1,RecName: Full=Putative uncharacterized protein FLJ35883;,16864669,AX747988,16862254
159,chr1,"Homo sapiens microRNA 3675 (MIR3675), microRNA.",17185516,MIR3675,16875408
160,chr1,"Homo sapiens macrophage stimulating 1 (hepatocyte growth factor-like) pseudogene 2 (MST1P2), non-coding RNA.",16976915,MST1P2,16972068
161,chr1,"Homo sapiens ciliary rootlet coiled-coil, rootletin (CROCC), mRNA.",17299474,CROCC,17066767
162,chr1,"Homo sapiens cDNA FLJ43749 fis, clone TESTI2034749.",17200574,AK125737,17197439
163,chr1,Novel nucleic acids.,17222720,DL489931,17222645
164,chr1,"Homo sapiens peptidyl arginine deiminase, type I (PADI1), mRNA.",17572501,PADI1,17531620
165,chr1,"Homo sapiens peptidyl arginine deiminase, type III (PADI3), mRNA.",17610727,PADI3,17575592
166,chr1,"Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA.",17690495,PADI4,17634689
167,chr1,"Homo sapiens peptidyl arginine deiminase, type VI (PADI6), mRNA.",17728195,PADI6,17698740
168,chr1,"Homo sapiens Rho guanine nucleotide exchange factor (GEF) 10-like (ARHGEF10L), transcript variant 1, mRNA.",18024370,ARHGEF10L,17846826
169,chr1,"Homo sapiens actin-like 8 (ACTL8), mRNA.",18153558,ACTL8,18081807
170,chr1,"Homo sapiens immunoglobin superfamily, member 21 (IGSF21), mRNA.",18704977,IGSF21,18434239
171,chr1,"Homo sapiens cDNA FLJ35299 fis, clone PROST2009347.",18702174,AX747631,18701063
172,chr1,"Homo sapiens kelch domain containing 7A (KLHDC7A), mRNA.",18812540,KLHDC7A,18807423
173,chr1,"Homo sapiens paired box 7 (PAX7), transcript variant 3, mRNA.",19075360,PAX7,18957499
174,chr1,"Homo sapiens mRNA turnover 4 homolog (S. cerevisiae) (MRTO4), mRNA.",19586622,MRTO4,19578074
175,chr1,"Homo sapiens PQ loop repeat containing 2 (PQLC2), transcript variant 2, mRNA.",19658922,PQLC2,19638739
176,chr1,"Homo sapiens MINOS1-NBL1 readthrough (MINOS1-NBL1), transcript variant 1, mRNA.",19984949,MINOS1-NBL1,19923470
177,chr1,"Homo sapiens neuroblastoma 1, DAN family BMP antagonist (NBL1), transcript variant 1, mRNA.",19984949,NBL1,19969722
178,chr1,"Homo sapiens mitochondrial inner membrane organizing system 1 (MINOS1), nuclear gene encoding mitochondrial protein, transcript variant 5, mRNA.",19956315,MINOS1,19923470
179,chr1,"Homo sapiens ribosomal protein S14 pseudogene 3 (RPS14P3), non-coding RNA.",19935138,RPS14P3,19934300
180,chr1,"Homo sapiens 5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled (HTR6), mRNA.",20006055,HTR6,19991779
181,chr1,"Homo sapiens OTU domain containing 3 (OTUD3), mRNA.",20239437,OTUD3,20208887
182,chr1,"Homo sapiens phospholipase A2, group V (PLA2G5), mRNA.",20418394,PLA2G5,20354671
183,chr1,"Homo sapiens phospholipase A2, group IIF (PLA2G2F), mRNA.",20476879,PLA2G2F,20465822
184,chr1,"Homo sapiens UBX domain protein 10 (UBXN10), mRNA.",20519942,UBXN10,20512577
185,chr1,"Homo sapiens von Willebrand factor A domain containing 5B1 (VWA5B1), mRNA.",20681387,VWA5B1,20617411
186,chr1,"Homo sapiens family with sequence similarity 43, member B (FAM43B), mRNA.",20881513,FAM43B,20878931
187,chr1,"Homo sapiens cytidine deaminase (CDA), mRNA.",20945400,CDA,20915443
188,chr1,"Homo sapiens PTEN induced putative kinase 1 (PINK1), nuclear gene encoding mitochondrial protein, mRNA.",20978004,PINK1,20959947
189,chr1,"Homo sapiens uncharacterized LOC100506801 (LOC100506801), non-coding RNA.",21626362,LOC100506801,21619782
190,chr1,"Homo sapiens cDNA clone IMAGE:40133403, partial cds.",21762609,BC127868,21761832
191,chr1,"Homo sapiens neuroblastoma breakpoint family, member 3 (NBPF3), transcript variant 4, non-coding RNA.",21811393,NBPF3,21766582
192,chr1,"Homo sapiens alkaline phosphatase, liver/bone/kidney (ALPL), transcript variant 1, mRNA.",21904905,ALPL,21835857
193,chr1,"Homo sapiens low density lipoprotein receptor class A domain containing 2 (LDLRAD2), mRNA.",22151714,LDLRAD2,22138757
194,chr1,"Homo sapiens chymotrypsin-like elastase family, member 3B (CELA3B), mRNA.",22333141,CELA3B,22303417
195,chr1,"Homo sapiens chymotrypsin-like elastase family, member 3A (CELA3A), mRNA.",22339035,CELA3A,22328148
196,chr1,"Homo sapiens long intergenic non-protein coding RNA 339 (LINC00339), transcript variant 2, non-coding RNA.",22357715,LINC00339,22351706
197,chr1,"Homo sapiens cell division cycle 42 (CDC42), transcript variant 3, mRNA.",22419436,CDC42,22379119
198,chr1,"Homo sapiens zinc finger and BTB domain containing 40 (ZBTB40), transcript variant 1, mRNA.",22857650,ZBTB40,22778343
199,chr1,"Homo sapiens EPH receptor A8 (EPHA8), transcript variant 1, mRNA.",22930087,EPHA8,22890003
200,chr1,"Homo sapiens complement component 1, q subcomponent, A chain (C1QA), mRNA.",22966175,C1QA,22963117
201,chr1,"Homo sapiens complement component 1, q subcomponent, C chain (C1QC), transcript variant 2, mRNA.",22974603,C1QC,22970117
202,chr1,"Homo sapiens complement component 1, q subcomponent, B chain (C1QB), mRNA.",22988029,C1QB,22979681
203,chr1,"Homo sapiens EPH receptor B2 (EPHB2), transcript variant 2, mRNA.",23241823,EPHB2,23037330
204,chr1,"Homo sapiens microRNA 4684 (MIR4684), microRNA.",23046091,MIR4684,23046009
205,chr1,"Homo sapiens cDNA: FLJ22322 fis, clone HRC05532.",23247347,AK025975,23243782
206,chr1,"Homo sapiens lysine (K)-specific demethylase 1A (KDM1A), transcript variant 1, mRNA.",23410184,KDM1A,23345940
207,chr1,"Homo sapiens microRNA 3115 (MIR3115), microRNA.",23370865,MIR3115,23370797
208,chr1,"Homo sapiens chromosome 1 open reading frame 213 (C1orf213), transcript variant 2, non-coding RNA.",23698330,C1orf213,23695463
209,chr1,"Homo sapiens cDNA FLJ36246 fis, clone THYMU2001900.",23855542,AX748204,23853364
210,chr1,"Homo sapiens myelodysplastic syndrome 2 translocation associated (MDS2), non-coding RNA.",23967056,MDS2,23907984
211,chr1,"Homo sapiens ribosomal protein L11 (RPL11), transcript variant 2, mRNA.",24022915,RPL11,24018268
212,chr1,"Homo sapiens transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) (TCEB3), mRNA.",24088549,TCEB3,24069855
213,chr1,"Homo sapiens PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 (PITHD1), mRNA.",24114722,PITHD1,24104875
214,chr1,"Homo sapiens lysophospholipase II (LYPLA2), mRNA.",24122029,LYPLA2,24117645
215,chr1,"Homo sapiens microRNA 378f (MIR378F), microRNA.",24255637,MIR378F,24255559
216,chr1,"Homo sapiens proline-rich nuclear receptor coactivator 2 (PNRC2), mRNA.",24289949,PNRC2,29662
217,chr1,"Homo sapiens uncharacterized LOC284632 (LOC284632), non-coding RNA.",24538180,LOC284632,24526729
218,chr1,"Homo sapiens grainyhead-like 3 (Drosophila) (GRHL3), transcript variant 3, mRNA.",24690970,GRHL3,24645811
219,chr1,"Homo sapiens NIPA-like domain containing 3 (NIPAL3), mRNA.",24799473,NIPAL3,24742244
220,chr1,"Homo sapiens RCAN family member 3 (RCAN3), transcript variant 2, mRNA.",24863510,RCAN3,24828840
221,chr1,"Homo sapiens noncompact myelin associated protein (NCMAP), mRNA.",24935818,NCMAP,24882566
222,chr1,"Homo sapiens serine/arginine repetitive matrix 1 (SRRM1), mRNA.",24999772,SRRM1,24969593
223,chr1,"Homo sapiens chloride intracellular channel 4 (CLIC4), nuclear gene encoding mitochondrial protein, mRNA.",25170815,CLIC4,25071759
224,chr1,Homo sapiens mRNA; cDNA DKFZp564H182 (from clone DKFZp564H182).,25170807,Z24749,25169384
225,chr1,"Homo sapiens Rh blood group, D antigen (RHD), transcript variant 1, mRNA.",25656936,RHD,25598980
226,chr1,"Homo sapiens transmembrane protein 50A (TMEM50A), mRNA.",25688852,TMEM50A,25664788
227,chr1,"Homo sapiens transmembrane protein 57 (TMEM57), mRNA.",25826698,TMEM57,25757387
228,chr1,"Homo sapiens low density lipoprotein receptor adaptor protein 1 (LDLRAP1), mRNA.",25895377,LDLRAP1,25870075
229,chr1,"Homo sapiens mannosidase, alpha, class 1C, member 1 (MAN1C1), mRNA.",26111258,MAN1C1,25943958
230,chr1,"Homo sapiens selenoprotein N, 1 (SEPN1), transcript variant 1, mRNA.",26144713,SEPN1,26126666
231,chr1,"Homo sapiens mitochondrial fission regulator 1-like (MTFR1L), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",26159433,MTFR1L,26146396
232,chr1,"Homo sapiens exostosin-like glycosyltransferase 1 (EXTL1), mRNA.",26362954,EXTL1,26348270
233,chr1,"Homo sapiens PDLIM1 interacting kinase 1 like (PDIK1L), transcript variant 3, mRNA.",26452039,PDIK1L,26437655
234,chr1,"Homo sapiens family with sequence similarity 110, member D (FAM110D), mRNA.",26489119,FAM110D,26485510
235,chr1,"Homo sapiens zinc finger protein 593 (ZNF593), mRNA.",26497364,ZNF593,26496387
